Food Item,Calories,Protein,Carbs,Fat
20.0,175,0.0,0.4,19.5
98.0,56,0.81,7.26,2.42
98.0,56,1.61,9.68,1.21
100.0,452,13.3,67.0,14.6
10.0,370,10.5,76.5,1.5
2.0,492,10.8,57.1,25.1
80.0,717,0.16,0.7,80.71
25.0,383,5.4,85.5,4.0
2.0,107,2.76,20.2,1.71
8.0,4,0.0,1.26,0.0
14.0,273,11.25,31.86,11.18
15.0,258,25.11,0.0,17.45
8.0,33,0.0,7.82,0.0
8.0,4,0.0,1.26,0.0
6.25,374,21.78,65.65,2.23
11.0,85,4.93,13.8,1.25
13.0,56,5.73,7.68,0.18
8.0,61,3.47,4.66,3.25
14.0,263,12.63,30.1,10.22
80.0,713,0.22,0.75,80.17
14.0,283,11.52,31.89,12.1
7.0,213,27.1,0.0,11.6
2.0,103,2.99,18.82,1.72
7.0,349,10.0,79.0,1.8
80.0,717,0.16,0.7,80.71
13.0,362,13.07,72.2,1.38
15.0,362,15.33,69.88,1.41
14.0,331,14.01,29.0,17.61
2.0,107,2.9,19.2,2.3
14.0,273,13.59,31.01,10.5
2.0,229,7.7,25.0,10.8
2.0,285,7.9,49.6,5.7
1.5,194,3.61,17.13,12.72
9.0,367,8.89,77.32,1.43
67.0,606,0.07,0.59,68.29
97.0,144,26.03,0.0,3.65
93.0,182,25.56,0.06,8.01
2.0,66,1.44,7.61,3.34
14.0,282,11.06,30.36,12.94
1.0,122,23.32,0.0,2.43
60.0,537,0.12,0.69,60.39
2.0,64,1.1,14.82,0.0
14.0,271,10.81,33.17,10.54
14.0,321,13.36,27.0,17.71
4.0,0,0.0,0.0,0.0
90.0,217,26.11,0.0,11.75
85.0,250,25.93,0.0,15.41
100.0,455,4.5,65.1,20.1
25.0,89,1.61,6.45,6.45
70.0,277,25.38,0.0,18.66
14.0,302,12.85,31.2,13.95
80.0,270,25.75,0.0,17.78
75.0,279,25.56,0.0,18.87
1.0,470,5.6,73.7,17.0
100.0,483,7.0,68.8,20.0
60.0,533,0.17,0.86,59.81
14.0,265,13.39,31.5,9.54
2.0,105,3.15,18.89,1.92
70.0,630,0.3,0.5,70.0
95.0,174,26.29,0.0,6.8
100.0,468,5.2,73.9,17.2
50.0,350,21.8,6.4,26.4
97.0,153,26.36,0.0,4.46
93.0,193,26.22,0.0,8.94
2.0,111,3.28,19.76,2.06
2.0,107,6.67,15.74,2.0
20.0,175,0.0,0.4,19.5
2.0,501,12.5,55.6,25.6
3.0,448,8.13,73.92,13.34
90.0,214,26.62,0.0,11.1
75.0,254,24.56,0.0,16.5
25.0,49,2.9,6.3,1.29
5.0,145,20.93,1.5,5.53
24.0,67,1.97,7.19,3.34
51.0,362,13.51,73.1,2.68
100.0,295,0.0,0.0,0.0
2.0,26,0.0,6.43,0.0
0.0,149,21.72,0.0,6.29
2.0,316,8.5,53.4,7.3
80.0,148,2.94,25.67,3.7
0.0,137,21.43,0.0,5.0
9.0,627,5.16,0.0,67.33
80.0,231,0.0,0.0,0.0
90.0,263,0.0,0.0,0.0
86.0,250,0.0,0.1,0.0
100.0,452,4.7,77.7,13.3
100.0,455,7.5,71.3,17.0
94.0,275,0.0,0.0,0.0
85.0,234,17.72,0.0,18.12
2.0,285,6.5,40.7,10.8
51.0,361,13.2,73.3,2.55
4.0,120,18.49,0.0,4.56
1.0,150,30.2,0.0,2.38
0.0,116,22.1,0.0,2.4
90.0,230,28.45,0.0,12.04
11.5,363,11.5,73.81,1.45
4.0,136,21.16,0.52,4.88
11.0,178,22.62,0.0,9.02
70.0,270,25.56,0.0,17.86
75.0,277,26.28,0.0,18.21
80.0,718,0.9,0.6,80.7
3.0,349,7.3,82.69,2.5
85.0,256,27.73,0.0,15.3
80.0,272,27.0,0.0,17.36
11.5,363,11.5,73.81,1.45
80.0,136,2.65,23.54,3.45
95.0,193,29.17,0.0,7.58
100.0,473,8.5,65.3,17.4
1.0,42,3.37,4.99,0.97
97.0,175,29.46,0.0,5.46
25.0,380,6.5,82.69,5.19
14.0,282,11.74,31.98,11.91
3.0,46,0.13,11.35,0.11
2.0,266,6.7,43.5,7.1
93.0,209,28.88,0.0,9.51
1.0,57,3.32,8.81,0.97
11.5,363,11.5,73.81,1.45
10.0,366,9.71,76.22,1.48
2.0,471,12.2,62.23,19.3
10.0,366,9.71,76.22,1.48
6.0,38,0.68,9.2,0.06
13.0,362,13.07,72.2,1.38
15.0,362,15.33,69.88,1.41
13.0,226,20.53,0.42,15.2
2.0,65,1.84,7.15,3.28
2.0,265,0.0,69.6,0.1
2.0,55,2.42,9.82,1.24
3.25,61,3.15,4.78,3.27
90.0,204,25.21,0.0,10.68
85.0,232,24.62,0.0,14.02
2.0,66,1.44,7.39,3.37
14.0,287,11.49,31.84,12.58
2.0,296,6.9,41.4,11.4
80.0,246,24.04,0.0,15.94
75.0,248,23.45,0.0,16.44
9.0,367,8.89,77.32,1.43
14.0,280,11.5,30.62,12.35
80.0,129,2.82,22.03,3.2
14.0,244,10.33,25.72,11.1
100.0,471,4.0,72.2,19.1
25.0,73,1.61,16.13,0.0
70.0,238,22.86,0.0,15.54
2.0,104,3.1,17.8,2.5
14.0,266,11.39,33.33,9.69
2.0,316,7.1,44.2,12.3
95.0,164,25.8,0.0,5.94
10.0,366,9.71,76.22,1.48
14.0,274,12.23,30.0,11.63
51.0,156,5.67,30.87,1.48
100.0,470,4.0,74.3,17.8
80.0,717,0.16,0.7,80.71
0.0,130,20.76,0.0,4.55
1.0,249,19.14,0.0,18.57
1.0,239,19.33,0.0,17.39
1.0,140,22.69,0.0,4.78
1.0,129,23.13,0.0,3.37
0.0,160,21.31,0.0,8.29
0.0,143,21.28,0.0,6.47
1.0,201,18.91,0.0,13.38
60.0,533,0.17,0.86,59.81
0.0,237,28.02,0.0,13.0
100.0,46,0.3,11.15,0.01
1.0,127,21.57,0.0,3.84
1.0,201,18.91,0.0,13.38
1.0,131,22.09,0.0,4.08
0.0,194,27.82,0.0,8.32
0.0,178,27.96,0.0,6.48
1.0,251,18.42,0.0,19.06
1.0,153,22.12,0.0,6.52
1.0,214,19.92,0.0,14.28
1.0,189,20.68,0.0,11.13
5.0,145,20.9,1.5,5.5
1.0,265,16.98,0.0,21.31
1.0,230,17.37,0.0,17.33
80.0,717,0.16,0.7,80.71
0.0,221,19.71,0.2,15.73
0.0,252,18.72,0.64,19.36
1.0,129,19.63,0.0,5.02
1.0,276,17.77,0.0,22.21
0.0,122,21.38,0.0,3.35
1.0,278,18.12,0.12,22.15
80.0,717,0.16,0.7,80.71
1.0,139,21.96,0.0,5.05
1.0,125,22.26,0.0,3.32
1.0,246,19.82,0.0,17.88
1.0,249,19.37,0.0,18.46
3.0,64,0.0,16.03,0.0
1.0,120,21.08,0.0,3.29
1.0,178,19.74,0.0,10.39
1.0,199,19.48,0.0,12.83
11.0,85,4.93,13.8,1.25
98.0,124,4.31,30.07,1.88
1.0,127,22.27,0.0,3.54
3.0,368,27.87,50.0,11.62
2.0,31,0.21,2.92,2.08
1.0,135,21.91,0.0,4.62
1.0,884,0.0,0.0,100.0
1.0,129,21.69,0.0,4.06
