Food Item,Calories,Protein,Carbs,Fat
1.0,172,29.25,0.0,5.22
1.0,191,29.21,0.0,7.31
1.0,228,20.0,0.0,15.83
3.0,27,0.0,6.67,0.0
1.0,367,15.77,0.0,33.26
0.0,129,21.34,0.0,4.21
1.0,202,26.59,0.0,9.76
1.0,216,29.99,0.0,9.73
1.0,265,17.65,0.0,20.98
0.0,124,21.74,0.0,4.14
0.0,207,36.12,0.0,5.8
0.0,190,36.12,0.0,4.0
1.0,43,3.48,4.97,0.97
0.0,227,18.86,0.0,16.85
1.0,260,16.79,0.0,20.9
0.0,137,21.28,0.0,5.75
1.0,244,17.19,0.0,18.94
0.0,216,18.86,0.0,15.6
1.0,128,22.18,0.0,3.66
1.0,56,1.65,11.16,0.42
1.0,243,28.37,0.0,13.46
80.0,730,0.41,1.39,80.32
1.0,164,22.18,0.0,7.68
1.0,168,21.94,0.0,8.19
1.0,128,22.88,0.0,3.38
1.0,140,22.22,0.0,4.96
1.0,119,22.31,0.0,2.62
0.0,217,26.11,0.0,11.65
0.0,184,26.16,0.0,8.0
1.0,322,16.34,0.0,27.93
1.0,277,17.94,0.0,22.18
1.0,48,3.93,5.52,1.17
0.0,161,20.14,0.0,8.99
0.0,175,19.38,0.29,10.7
0.0,263,26.98,0.0,16.44
0.0,202,27.55,0.0,9.31
1.0,288,16.75,0.0,23.95
1.0,232,26.16,0.0,13.31
1.0,235,27.74,0.0,12.95
1.0,248,17.16,0.0,19.41
1.0,125,20.52,0.0,4.19
1.0,151,19.29,0.0,7.63
3.0,58,6.59,0.85,2.88
0.0,183,27.78,0.0,7.15
0.0,239,19.11,0.46,17.91
1.0,201,20.3,0.0,12.71
1.0,146,21.0,0.0,6.24
0.0,126,21.07,0.0,3.95
60.0,537,0.12,0.69,60.39
2.0,61,3.24,7.46,2.02
1.0,132,22.11,0.0,4.19
1.0,247,19.61,0.0,18.16
0.0,336,15.75,0.9,29.89
0.0,305,16.75,0.6,26.23
0.0,187,19.46,1.75,11.4
0.0,169,20.05,1.15,9.39
1.0,355,16.15,0.0,31.66
3.0,57,3.32,7.74,1.93
3.0,41,0.55,9.73,0.13
32.0,359,1.42,72.18,7.17
0.0,156,20.16,0.0,7.73
0.0,145,20.8,0.0,6.28
10.0,471,7.63,67.57,18.93
24.0,67,1.97,7.19,3.34
20.0,66,1.97,7.21,3.34
60.0,535,0.6,0.0,59.17
1.0,132,19.99,0.0,5.2
100.0,479,4.5,71.2,20.1
1.0,189,19.6,0.0,11.67
1.0,268,25.85,0.0,17.68
1.0,302,30.12,0.0,19.22
0.0,246,24.66,1.53,15.7
0.0,277,24.98,0.0,19.64
1.0,192,28.98,0.0,8.48
1.0,338,21.55,0.0,27.22
1.0,271,25.51,0.0,18.01
0.0,137,20.61,0.0,6.01
0.0,166,28.01,0.0,5.17
1.0,264,26.18,0.0,17.69
0.0,209,26.53,0.0,11.46
6.0,44,0.0,11.25,0.0
0.0,193,25.95,0.0,9.91
0.0,227,26.18,0.21,13.54
0.0,276,30.9,0.0,16.96
0.0,175,26.52,0.0,7.63
1.0,342,29.43,0.0,24.03
0.0,182,26.3,0.0,7.66
1.0,204,29.52,0.0,9.5
1.0,234,25.34,0.0,13.95
4.0,317,17.07,0.0,27.64
0.0,236,33.17,0.0,11.5
0.0,220,26.5,0.14,12.64
1.0,244,25.16,0.0,15.13
1.0,291,25.96,0.0,20.77
0.0,236,26.1,0.4,14.41
0.0,215,26.3,0.0,12.25
1.0,174,30.73,0.0,5.63
9.0,405,14.54,0.42,38.3
4.0,206,19.71,0.0,14.09
0.0,184,26.07,0.0,8.11
0.0,176,26.66,0.0,6.94
0.0,177,26.22,0.0,7.2
0.0,236,24.63,0.0,15.29
1.0,235,25.75,0.0,13.83
4.0,234,20.35,0.0,16.93
9.0,248,18.5,0.58,19.11
1.0,190,27.31,0.0,8.1
1.0,281,24.88,0.0,19.38
0.0,228,26.49,0.28,13.42
1.0,244,28.01,0.0,14.64
4.0,289,17.67,0.17,24.2
1.0,305,28.48,0.0,21.2
1.0,215,25.54,0.0,11.78
4.0,191,20.19,0.0,12.3
9.0,330,17.61,0.46,28.61
1.0,237,21.26,0.0,16.89
0.0,183,26.65,0.0,8.46
0.0,172,26.45,0.0,6.43
25.0,293,12.5,3.4,25.1
1.0,188,27.63,0.0,7.8
0.0,181,26.07,0.0,7.68
1.0,226,30.15,0.08,11.64
1.0,270,25.26,0.0,17.98
0.0,229,24.86,0.0,14.41
0.0,241,24.47,0.0,15.87
1.0,55,1.82,10.92,0.34
1.0,215,27.75,0.0,10.65
4.0,223,20.15,0.2,15.69
9.0,237,18.87,0.57,17.73
1.0,234,32.16,0.0,11.68
1.0,183,26.75,0.0,7.68
1.0,256,24.52,0.0,16.82
1.0,147,24.07,0.0,5.59
1.0,215,32.08,0.0,9.59
0.0,182,27.52,0.0,7.1
9.0,331,16.92,0.13,29.15
0.0,182,18.99,0.36,11.64
1.0,296,23.58,0.0,21.65
1.0,232,17.95,0.0,17.2
0.0,190,26.41,0.0,9.36
0.0,172,27.02,0.0,7.12
0.0,265,29.97,0.0,15.18
1.0,251,17.19,0.0,19.74
1.0,219,27.54,0.0,12.04
0.0,141,20.67,0.0,5.88
1.0,223,33.69,0.0,8.8
1.0,186,28.08,0.0,7.33
1.0,242,26.0,0.8,15.0
1.0,276,22.51,0.0,19.97
1.0,278,24.42,0.0,19.26
1.0,344,28.68,0.0,24.55
1.0,338,29.46,0.0,23.57
1.0,268,23.84,0.0,18.39
1.0,269,22.7,0.0,19.08
6.0,4,0.0,1.03,0.0
0.0,223,28.57,0.0,11.15
1.0,229,17.84,0.0,16.97
1.0,201,26.71,0.0,9.63
1.0,187,30.87,0.0,7.02
1.0,196,20.58,0.0,12.68
1.0,201,18.76,0.0,13.37
0.0,291,26.7,0.0,20.49
1.0,242,26.2,0.0,14.42
1.0,233,26.18,0.0,13.44
0.0,170,19.42,0.49,9.99
0.0,222,24.93,0.0,12.79
1.0,258,25.55,0.0,16.48
0.0,296,27.69,0.0,20.55
1.0,256,16.68,0.0,20.47
0.0,172,19.2,0.09,10.5
1.0,215,18.24,0.0,15.19
1.0,155,19.36,0.0,8.01
1.0,198,29.06,0.0,9.11
0.0,170,29.12,0.0,5.92
0.0,189,18.85,0.53,12.4
1.0,190,28.6,0.0,8.35
0.0,191,27.22,0.0,8.3
0.0,182,26.75,0.0,8.34
1.0,184,30.97,0.0,6.71
1.0,122,22.49,0.0,3.53
1.0,204,24.94,0.0,10.77
1.0,283,32.81,0.0,15.89
1.0,210,27.12,0.0,10.5
1.0,247,26.92,0.0,15.44
0.0,202,29.53,0.0,8.41
1.0,142,20.25,0.0,6.18
0.0,143,20.39,0.0,6.12
0.0,140,21.13,0.0,5.51
0.0,292,27.06,0.0,20.47
1.0,181,28.26,0.73,7.23
1.0,275,25.69,0.0,19.19
0.0,144,20.54,0.0,6.22
0.0,180,19.18,0.0,11.48
0.0,167,29.66,0.0,4.46
6.0,5,0.25,0.7,0.08
1.0,208,18.33,0.0,14.38
0.0,245,29.36,0.0,14.2
1.0,238,26.3,1.1,14.3
1.0,191,28.3,0.0,7.74
0.0,159,29.66,0.0,4.47
1.0,249,25.5,0.4,16.1
0.0,233,28.19,0.0,12.51
0.0,207,29.16,0.0,9.12
0.0,196,19.17,0.0,13.26
0.0,228,31.41,0.0,11.43
0.0,216,30.54,0.0,10.46
0.0,288,27.17,0.0,19.02
0.0,306,26.39,0.0,21.48
9.0,392,14.58,0.22,36.98
0.0,210,27.59,0.0,11.07
0.0,220,32.07,0.0,10.18
0.0,275,28.23,0.0,18.0
1.0,135,20.46,0.0,5.23
1.0,231,25.25,0.0,13.69
1.0,254,17.25,0.0,20.0
0.0,157,19.71,0.21,8.54
1.0,291,21.71,0.0,22.03
0.0,178,19.23,0.67,10.96
0.0,228,24.7,0.0,13.59
0.0,212,25.29,0.0,11.52
0.0,303,27.16,0.0,21.56
0.0,285,28.47,0.0,19.03
1.0,195,19.17,0.0,12.56
1.0,292,24.3,0.0,21.66
0.0,173,28.97,0.0,6.37
1.0,184,29.67,0.0,7.26
1.0,208,28.66,0.0,10.34
0.0,177,27.12,0.0,6.78
1.0,291,23.69,0.0,21.81
0.0,282,27.68,0.0,19.01
24.0,71,1.8,8.73,3.26
1.0,228,27.0,1.0,12.9
0.0,165,29.35,0.0,5.25
0.0,211,30.5,0.0,8.91
1.0,132,20.43,0.0,4.91
37.0,339,0.51,0.66,37.77
0.0,163,29.85,0.0,3.9
1.0,212,27.86,0.0,10.37
0.0,189,29.99,0.0,6.74
1.0,300,23.47,0.0,22.91
0.0,167,29.96,0.0,4.28
1.0,311,29.7,0.0,20.38
0.0,140,21.13,0.31,6.07
1.0,309,22.9,0.0,24.2
0.0,211,29.22,0.0,9.52
0.0,234,29.99,0.0,12.69
1.0,175,21.95,0.0,9.73
0.0,145,20.51,0.0,6.36
0.0,142,20.93,0.0,5.79
0.0,271,24.85,0.0,19.02
0.0,281,27.95,0.0,18.75
0.0,300,26.46,0.0,21.62
1.0,170,28.36,0.22,6.14
1.0,189,28.19,1.07,7.96
0.0,155,29.85,0.0,3.9
0.0,160,29.9,0.0,4.49
0.0,183,27.31,0.0,8.14
0.0,231,30.45,0.0,11.14
0.0,216,30.68,0.0,9.44
1.0,294,24.52,0.0,20.94
0.0,219,31.35,0.0,10.41
0.0,187,19.2,0.0,12.27
1.0,138,20.48,0.0,5.64
0.0,185,19.14,0.0,12.02
0.0,162,29.45,0.0,3.97
0.0,171,29.79,0.0,4.83
1.0,182,27.18,0.0,7.27
0.0,249,27.27,0.0,14.74
1.0,238,34.17,0.0,10.23
1.0,231,23.83,0.0,14.38
0.0,253,28.9,0.0,15.3
0.0,233,30.06,0.0,12.54
1.0,276,25.4,0.0,18.57
0.0,196,28.15,0.0,9.23
0.0,234,30.95,0.0,12.22
0.0,154,29.47,0.0,3.98
0.0,190,33.31,0.0,6.34
0.0,173,19.25,0.0,10.67
0.0,202,19.15,0.0,13.93
0.0,163,29.79,0.0,4.83
0.0,221,32.1,0.0,10.24
0.0,128,23.04,0.0,3.98
0.0,168,29.08,0.0,4.84
1.0,218,28.21,0.0,11.68
0.0,261,29.18,0.0,16.05
0.0,284,27.6,0.0,19.3
1.0,143,20.65,0.0,6.08
0.0,171,30.58,0.0,5.37
1.0,195,28.33,0.82,8.76
1.0,207,27.97,0.0,10.57
0.0,225,32.21,0.0,10.74
0.0,211,31.86,0.0,9.34
0.0,283,23.61,0.0,20.15
0.0,267,24.47,0.0,17.98
0.0,220,27.51,0.0,12.26
0.0,194,27.7,0.0,9.29
1.0,258,26.97,0.0,15.83
1.0,221,27.4,0.0,12.43
0.0,276,23.96,0.0,19.27
1.0,273,24.83,0.0,19.25
1.0,303,22.92,0.0,23.52
1.0,303,23.92,0.0,22.98
0.0,211,26.05,0.0,11.07
0.0,162,30.09,0.0,3.77
0.0,142,21.59,0.0,5.53
0.0,206,28.11,0.0,10.37
0.0,291,27.03,0.0,20.28
0.0,268,28.65,0.0,17.1
1.0,291,25.85,0.0,20.04
1.0,341,22.54,0.0,27.14
0.0,188,26.88,0.0,8.13
0.0,162,26.61,0.0,5.32
1.0,231,27.12,0.0,13.64
0.0,177,27.51,0.0,7.49
0.0,162,30.09,0.0,3.77
1.0,213,28.16,0.0,10.32
1.0,213,27.1,0.9,11.2
1.0,239,26.8,1.1,14.1
0.0,198,30.7,0.0,8.32
1.0,277,24.85,0.0,19.68
1.0,131,23.11,0.0,4.33
1.0,206,28.22,0.0,9.52
1.0,267,16.88,0.0,21.59
0.0,166,29.94,0.0,4.26
1.0,290,23.36,0.0,21.85
0.0,133,20.52,0.0,5.71
0.0,139,20.67,0.0,6.21
1.0,218,26.41,0.0,11.64
1.0,208,28.31,0.0,9.65
0.0,145,21.19,0.39,6.51
70.0,628,0.26,1.53,70.22
0.0,223,30.64,0.0,11.16
0.0,242,29.56,0.0,13.72
0.0,157,29.52,0.0,3.43
1.0,243,17.54,0.0,18.66
1.0,217,27.48,0.0,11.05
0.0,157,30.97,0.0,3.72
0.0,217,30.21,0.0,9.71
0.0,202,30.93,0.0,7.7
1.0,236,24.78,0.0,14.44
1.0,307,23.53,0.0,23.61
1.0,313,22.71,0.0,24.7
1.0,304,23.19,0.0,23.47
0.0,162,29.7,0.0,3.85
0.0,170,30.12,0.0,4.62
1.0,206,28.45,0.0,9.35
0.0,134,21.03,0.19,5.41
0.0,204,31.03,0.0,8.92
0.0,248,26.29,0.0,15.9
0.0,285,23.89,0.0,21.1
1.0,187,20.97,0.0,11.43
0.0,265,26.58,0.0,16.76
1.0,247,32.76,0.0,11.87
1.0,199,21.29,0.0,12.68
0.0,158,29.94,0.0,4.26
0.0,149,29.52,0.0,3.43
3.0,29,0.0,6.67,0.37
0.0,163,30.08,0.0,4.79
0.0,188,27.26,0.0,8.82
0.0,174,27.38,0.0,7.12
0.0,222,30.91,0.0,10.91
0.0,215,32.01,0.0,9.66
1.0,187,21.1,0.3,11.3
0.0,234,27.95,0.0,12.71
1.0,143,23.23,0.0,5.52
1.0,263,26.21,0.0,16.75
0.0,187,27.96,0.0,8.34
0.0,202,28.28,0.0,9.83
1.0,264,16.58,0.0,21.45
1.0,244,17.07,0.0,18.96
0.0,163,22.43,0.0,8.17
0.0,181,32.96,0.0,5.44
0.0,197,33.55,0.0,6.94
0.0,249,27.27,0.0,14.74
1.0,134,20.21,0.0,5.28
1.0,191,19.9,0.0,12.4
1.0,284,24.85,0.0,19.78
1.0,244,18.85,0.0,18.73
0.0,174,28.79,0.0,5.71
0.0,160,29.24,0.0,3.91
0.0,132,23.03,0.0,4.4
0.0,122,23.05,0.0,3.35
1.0,355,23.01,0.0,28.51
0.0,305,25.48,0.0,22.58
1.0,209,18.47,0.0,14.42
0.0,205,18.97,0.0,14.32
1.0,189,29.3,0.0,7.09
1.0,255,18.13,0.0,20.31
0.0,187,27.42,0.0,7.72
0.0,255,23.51,0.0,17.13
1.0,289,24.6,0.0,20.36
0.0,165,30.78,0.0,4.68
0.0,174,30.45,0.0,5.83
1.0,206,28.24,0.88,9.97
1.0,179,28.48,0.74,6.95
0.0,178,28.15,0.0,7.31
1.0,230,17.91,0.0,17.07
1.0,229,27.87,0.0,13.01
1.0,202,28.72,0.0,9.68
0.0,223,33.56,0.0,8.86
1.0,217,27.3,0.0,11.97
1.0,195,29.58,0.0,7.63
0.0,212,26.07,0.0,11.18
1.0,239,27.4,0.6,14.1
0.0,176,18.99,0.0,10.52
1.0,136,22.28,0.0,5.24
1.0,292,24.63,0.0,20.67
0.0,159,26.08,0.0,5.24
1.0,229,27.03,0.0,13.44
1.0,210,27.96,0.0,10.91
1.0,134,20.29,0.0,5.25
0.0,191,29.18,0.0,8.31
1.0,284,24.95,0.0,19.67
0.0,230,24.38,0.0,14.0
0.0,258,24.05,0.0,17.26
1.0,219,27.45,0.0,11.34
1.0,216,34.34,0.0,7.73
0.0,221,25.66,0.0,12.36
0.0,201,26.44,0.0,9.78
0.0,182,29.93,0.0,6.05
0.0,158,29.81,0.0,3.37
0.0,166,30.24,0.0,4.11
1.0,278,26.16,0.0,18.45
0.0,220,26.13,0.0,12.05
0.0,130,21.39,0.0,4.97
0.0,215,27.39,0.0,11.75
1.0,323,22.76,0.0,25.02
1.0,359,22.28,0.0,29.21
1.0,304,24.53,0.0,22.09
1.0,278,27.17,0.0,18.0
0.0,150,21.24,0.0,6.59
0.0,161,25.73,0.0,5.72
0.0,196,31.48,0.0,7.78
1.0,296,24.41,0.0,21.28
1.0,219,27.03,0.0,12.29
0.0,169,27.55,0.0,6.54
0.0,183,27.48,0.0,8.13
0.0,158,30.24,0.06,4.11
1.0,240,27.18,0.0,14.55
1.0,259,26.11,0.0,16.59
1.0,169,29.73,0.0,4.71
45.0,550,5.09,59.97,32.2
0.0,211,30.45,0.0,9.03
0.0,198,31.09,0.0,7.25
1.0,165,27.5,0.0,5.22
0.0,205,28.88,0.0,9.01
1.0,143,23.07,0.0,5.67
0.0,150,29.81,0.0,3.37
0.0,129,22.15,0.0,3.83
1.0,337,22.42,0.0,26.75
1.0,351,22.77,0.0,28.11
1.0,136,23.42,0.0,4.73
1.0,156,21.99,0.0,7.54
0.0,143,23.07,0.0,5.67
0.0,247,24.18,0.0,15.93
1.0,204,28.13,0.0,9.26
1.0,212,28.48,0.0,10.05
0.0,193,29.41,0.0,7.53
0.0,160,25.87,0.0,5.52
1.0,212,26.77,0.0,10.85
1.0,240,32.67,0.0,11.19
1.0,223,26.05,0.0,12.44
1.0,254,32.85,0.0,12.56
1.0,205,21.13,0.0,13.36
1.0,143,22.61,0.0,5.84
1.0,144,19.55,0.0,6.76
0.0,182,28.29,0.0,6.8
1.0,317,19.86,0.0,25.74
0.0,200,31.18,0.0,8.41
1.0,221,27.65,0.0,11.36
1.0,204,30.67,0.0,9.0
1.0,203,28.92,0.0,8.76
0.0,207,30.93,0.0,9.25
0.0,232,17.98,0.35,17.59
1.0,134,21.38,0.0,5.36
1.0,354,24.13,0.0,27.86
1.0,411,22.15,0.0,35.12
1.0,191,21.54,0.0,11.65
0.0,240,28.82,0.0,13.8
1.0,166,21.22,0.0,9.04
1.0,217,26.73,0.0,11.4
1.0,199,20.8,0.6,12.6
1.0,170,21.6,0.0,9.3
0.0,233,24.18,0.0,14.37
1.0,230,19.55,0.0,16.9
0.0,187,20.38,0.0,11.71
0.0,360,24.23,0.0,29.21
1.0,225,26.41,0.0,12.45
1.0,128,20.56,0.0,4.51
0.0,124,23.26,0.0,3.48
0.0,124,23.27,0.0,3.44
0.0,312,24.73,0.0,22.84
0.0,285,24.91,0.0,19.79
3.0,47,0.14,11.54,0.1
1.0,278,23.08,0.0,19.94
1.0,345,28.51,0.0,24.73
1.0,281,22.25,0.0,20.61
0.0,188,26.79,0.0,8.21
0.0,177,27.76,0.0,6.48
0.0,214,34.0,0.0,7.67
1.0,179,20.1,0.0,10.9
1.0,199,19.7,0.0,13.4
0.0,230,28.4,0.0,12.42
1.0,253,18.39,0.0,19.95
1.0,219,25.49,0.0,12.25
1.0,195,29.33,0.3,8.54
0.0,146,20.96,0.0,6.95
0.0,171,22.19,0.0,9.16
0.0,151,22.79,0.0,6.67
1.0,333,23.4,0.0,25.84
1.0,324,21.55,0.0,25.71
1.0,370,20.86,0.0,31.18
1.0,378,22.5,0.0,31.28
0.0,317,25.26,0.0,24.05
0.0,287,25.81,0.0,20.38
1.0,270,22.62,0.0,19.19
1.0,267,23.48,0.0,18.5
1.0,339,28.92,0.0,23.88
1.0,204,28.35,0.0,9.17
0.0,238,27.53,0.0,13.4
1.0,586,12.16,0.0,59.18
0.0,196,19.1,0.0,13.33
0.0,210,18.87,0.0,14.99
0.0,179,27.17,0.0,6.95
0.0,194,26.89,0.0,8.81
1.0,194,28.95,0.0,8.15
1.0,201,18.59,0.0,13.48
1.0,185,31.82,0.0,5.45
1.0,260,17.92,0.0,20.96
1.0,248,18.44,0.0,19.34
0.0,205,26.66,0.0,10.06
1.0,262,16.48,0.0,21.28
1.0,281,25.18,0.0,19.22
0.0,123,21.64,0.0,4.09
0.0,182,18.75,0.0,11.33
0.0,166,19.38,0.0,9.22
0.0,193,26.34,0.0,9.73
0.0,188,28.0,0.0,8.42
0.0,164,28.37,0.0,5.65
1.0,214,20.01,0.0,14.42
1.0,164,28.45,0.0,4.67
0.0,217,34.39,0.0,7.72
0.0,175,28.08,0.0,6.06
0.0,199,26.76,0.0,9.37
0.0,230,32.73,0.0,10.0
0.0,128,21.13,0.0,4.79
0.0,224,25.51,0.0,12.8
1.0,219,28.3,0.4,11.6
1.0,253,26.8,0.6,15.9
1.0,177,29.44,0.0,5.73
1.0,188,30.87,0.0,6.22
1.0,201,29.16,0.0,8.45
1.0,294,24.21,0.0,21.13
0.0,146,20.16,0.0,7.25
0.0,209,27.94,0.0,10.79
1.0,404,20.65,0.0,34.97
1.0,393,22.86,0.0,32.74
0.0,331,23.48,0.0,25.54
0.0,372,22.8,0.0,30.49
1.0,245,26.06,0.0,15.09
1.0,349,24.4,0.0,27.17
0.0,127,21.72,0.0,4.44
0.0,133,21.17,0.07,5.33
60.0,542,0.17,0.86,59.81
1.0,279,22.53,0.0,20.24
1.0,346,30.39,0.0,24.0
1.0,281,24.44,0.0,19.55
1.0,210,27.63,0.0,10.24
1.0,228,27.27,0.0,12.34
0.0,143,20.93,0.0,5.89
1.0,175,29.87,0.0,5.3
1.0,228,34.22,0.0,9.02
1.0,202,28.29,0.0,9.05
1.0,337,31.1,0.0,22.65
0.0,200,31.32,0.0,8.3
0.0,190,31.71,0.0,7.02
0.0,283,24.95,0.0,20.35
0.0,267,25.03,0.0,18.57
0.0,206,18.74,0.19,14.53
1.0,205,34.46,0.0,6.43
1.0,163,29.59,0.0,4.11
3.0,47,0.14,11.54,0.1
1.0,224,30.7,0.0,10.27
1.0,179,27.56,0.0,6.77
1.0,201,30.63,0.0,7.73
0.0,175,28.6,0.0,5.82
1.0,135,23.3,0.0,4.66
1.0,149,22.93,0.0,6.34
0.0,133,22.66,0.04,4.66
0.0,159,25.9,0.0,5.42
1.0,352,22.26,0.0,28.5
1.0,365,22.6,0.0,29.79
1.0,289,28.82,0.0,18.42
1.0,148,22.55,0.0,6.41
1.0,161,21.62,0.0,8.29
95.0,884,0.0,0.0,100.0
0.0,124,23.49,0.0,3.34
0.0,125,23.45,0.0,3.5
0.0,121,23.37,0.0,3.04
0.0,121,23.37,0.0,3.04
